Date,Time,Carr,Tracking No.,Firm Name,Item,CD/Other,Type,To
09/30/2013,09/30/2013 01:01:12 PM,US Postal Service,70121640000043193618,MEDICAL IMAGING SOLUTION,D2579/0000,0,NA,1
09/30/2013,09/30/2013 01:04:14 PM,US Postal Service,70121640000043193601,MEDICAL IMAGING SOLUTIONS,D2579/0000,0,NA,1
09/30/2013,09/30/2013 01:06:35 PM,DHL,70121010000228236272,HENRY SCHEIN,D2579/0000,0,NA,2
09/30/2013,09/30/2013 01:12:14 PM,DHL,70121010000228236272,HENRY SCHEIN,D2579/0000,0,NA,3
09/30/2013,09/30/2013 01:17:12 PM,UPS,1z71a4r10348530432,HENRY SCHEIN,D2579/0000,0,NA,4
09/30/2013,09/30/2013 01:22:19 PM,FedEx,1001908784090002099300573046296996,HOLOGIC,D2579/0000,0,NA,5
09/30/2013,09/30/2013 01:24:33 PM,FedEx,1001913784080002099300509974161984,MEDTRONIC,D2579/0000,0,NA,6
09/30/2013,09/30/2013 01:26:52 PM,UPS,1z03w2980254192156,HENRY SCHEIN,D2579/0000,0,NA,7
09/30/2013,09/30/2013 01:28:02 PM,UPS,1z53e02w0349367647,HENRY SCHEIN,D2579/0000,0,NA,8
09/30/2013,09/30/2013 01:30:05 PM,DHL,1z9217230364675296,HENRY SCHEIN,D2579/0000,0,NA,9
09/30/2013,09/30/2013 01:31:49 PM,UPS,1z35558e0367242406,HENRY SCHEIN,D2579/0000,0,NA,10
09/30/2013,09/30/2013 01:33:15 PM,UPS,1z9217230364012340,HENRY SCHEIN,D2579/0000,0,NA,11
09/30/2013,09/30/2013 01:34:19 PM,UPS,1z9217230362853776,HENRY SCHEIN,D2579/0000,0,NA,12
09/30/2013,09/30/2013 01:35:36 PM,UPS,1z9217230364947724,HENRY SCHEIN,D2579/0000,0,NA,13
09/30/2013,09/30/2013 01:38:41 PM,UPS,1z696w060151610405,HENRY SCHEIN,D2579/0000,0,NA,14
09/30/2013,09/30/2013 01:40:18 PM,UPS,1z35w0330154442710,HENRY SCHEIN,D2579/0000,0,NA,15
09/30/2013,09/30/2013 02:27:07 PM,UPS,1Z557E170143583907,RTS,K132619/0000,1,K,1
09/30/2013,09/30/2013 02:27:41 PM,UPS,1z73a3900466003449,BRAIN LAB,K132763/0000,1,K,2
09/30/2013,09/30/2013 02:28:20 PM,US Postal Service,le034625005fr,CAIR LGC,K000000/0000,1,K,3
09/30/2013,09/30/2013 02:28:52 PM,UPS,ee756622464cn,JINGSU IDEAL MED,K132428/0000,1,K,4
