DECEMBER 2013 DOCUMENT DATA BY DAY
DATE,DAY,510K,IDE,PMA,RAD_HEALTH,2579,DAY_TOTAL
2013-12-02,Mon,61,33,6,17,14,131
2013-12-03,Tue,51,30,32,17,5,135
2013-12-04,Wed,44,46,18,20,14,142
2013-12-05,Thu,58,35,29,28,15,165
2013-12-06,Fri,81,37,38,12,14,182
2013-12-09,Mon,82,45,21,14,0,162
2013-12-11,Wed,76,68,30,23,32,229
2013-12-12,Thu,66,51,33,20,21,191
2013-12-13,Fri,60,48,28,25,13,174
2013-12-16,Mon,73,36,48,24,15,196
2013-12-17,Tue,46,36,26,18,10,136
2013-12-18,Wed,56,52,22,22,10,162
2013-12-19,Thu,70,36,57,29,14,206
2013-12-20,Fri,97,50,27,43,12,229
2013-12-23,Mon,110,97,79,24,24,334
2013-12-24,Tue,31,28,26,25,11,121
2013-12-26,Thu,66,26,29,8,9,138
2013-12-27,Fri,39,21,17,14,16,107
2013-12-30,Mon,52,34,9,17,22,134
2013-12-31,Tue,55,24,6,22,5,112
